"HolderAddress","Balance","PendingBalanceUpdate"
"0xbaf5777f2250ec5e294b6f3dee28fcefad607975","501.778286540981","No"
"0x43fd5530789ce64a6569d882cfdfa07c7ed33be6","0.0538990856675016","No"
"0x05f9927704f982b51a4888ff6e9e9309f1191baf","1000.62480798202","No"
"0xbdf18ecc3325d7598dcf60b970b64357bd8c4c9f","0.00100021395472183","No"
"0xaf2bd35e171d3a0017a9a97573390d1a46654b5f","2.00316615282408","No"
"0x1164236009849feec5f941f6f652ee6928bdc7bb","6.1921036714126E-05","No"
"0xf8999880a195b4edb7fa45b68369b6f9ac7559bf","5.7375436341601E-05","No"
"0xa07247b6af51baf688d2da732f16485ff2efc8f6","1140.61862621667","No"
"0x25e8bb4b226fe8e0565fe6116588ef0386e9e029","8.4193566666219E-05","No"
"0xf85d6eb0764e2e561901536a06cac3b59dadf345","0.0351572094802899","No"
"0x11051d33685f661c2f8a48465b77ec0a2fe7a51d","0.127449586445048","No"
"0x8d8221d5c5deb1b93efad6bc664b05cd9841e3c2","4.0563670006482E-05","No"
"0x1ba65a907df9c4f77622e37efef695041e0eca45","4.520001013E-09","No"
"0xb6b7c71afa27133d856fbad150ad070a537227e0","0.895811653545826","No"
"0xdee7523da507b7e09b60fbffeaf9aabc1d17fce4","0.056782084381928","No"
"0xa65612f6a79993ccaf333af4071034e3a93ee206","2.4218661365128E-05","No"
"0xd2b01aa4cfd26c3d2b11d61f8cbe1b27098f57b3","0.385954094814357","No"
"0x1a8ba4cd4a4f6de023710126b017ba19ebbd34a2","0.130960580046429","No"
"0x607c59b87394f8503d040a0d4997a7484eb47b51","7.0080627640984E-05","No"
"0x12a59989f8f06130bda8d6e936b2045c734f19ac","1","No"
"0xf9d96cdba21e917d2545e25300e96536070fa0d4","1.9738179579847E-05","No"
"0x189b203e8d4d779654edc575d0a8af8034c0b05d","5.260614717869E-06","No"
"0x6e0df8dc9e37fa295d1ebb01919ef04dfd818c7a","7.8716766364346E-05","No"
"0x3471884f189fd7c63fe8c83601d28ce0cc1b3853","8E-18","No"
"0xfea1c4554aeb48876ca74a7692b56afad1aa00da","2.9045591394179E-05","No"
